2020-11-03 21:24:06.058 [main] INFO  com.atshop.auth.repository.DeptRepositoryTest - Starting DeptRepositoryTest on DESKTOP-7OTCI56 with PID 14656 (started by Administrator in D:\code\atshop\at-web\at-auth)
2020-11-03 21:24:06.059 [main] INFO  com.atshop.auth.repository.DeptRepositoryTest - No active profile set, falling back to default profiles: default
2020-11-03 21:24:06.466 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-03 21:24:06.467 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-11-03 21:24:06.517 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 50ms. Found 8 JPA repository interfaces.
2020-11-03 21:24:06.599 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@774c6111' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-03 21:24:06.606 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-03 21:24:06.618 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.atshop.auth.config.RedisConfig$$EnhancerBySpringCGLIB$$282af032] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-03 21:24:06.785 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-11-03 21:24:06.797 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} inited
2020-11-03 21:24:07.052 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2020-11-03 21:24:09.058 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-11-03 21:24:09.058 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-11-03 21:24:09.401 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-11-03 21:24:09.403 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} closed
2020-11-03 21:24:09.413 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-11-03 21:24:11.086 [main] INFO  com.atshop.auth.repository.DeptRepositoryTest - Starting DeptRepositoryTest on DESKTOP-7OTCI56 with PID 14656 (started by Administrator in D:\code\atshop\at-web\at-auth)
2020-11-03 21:24:11.086 [main] INFO  com.atshop.auth.repository.DeptRepositoryTest - No active profile set, falling back to default profiles: default
2020-11-03 21:24:11.430 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
